TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRBI11;24,30;;48,33;3,48;1,78;4,18;15,89;5,96;18,12;8,30;-9,83;-1,89;2,88;1,82;4,53;;7,20;3,69;15,25;0,51;0,07;0,62;;;15.877.835,11;6,99;0,50;;2.543.004.720,00
BRBI3;0,00;;0,00;0,00;0,00;4,18;15,89;5,96;0,00;8,30;-9,83;-1,89;0,00;0,00;0,00;;7,20;3,69;15,25;0,51;0,07;0,62;;;;2,33;0,17;;2.543.004.720,00
BRBI4;0,00;;0,00;0,00;0,00;4,18;15,89;5,96;0,00;8,30;-9,83;-1,89;0,00;0,00;0,00;;7,20;3,69;15,25;0,51;0,07;0,62;;;;2,33;0,17;;2.543.004.720,00
BRDT3;26,59;7,51;7,11;2,63;1,08;6,03;5,33;4,33;5,78;7,05;1,27;0,58;0,31;3,49;-2,20;2,60;37,00;15,25;20,40;0,41;0,59;3,52;-3,48;;395.432.051,58;10,11;3,74;0,05;30.977.350.000,00
BRFS3;23,80;;21,35;2,32;0,39;22,13;6,67;2,08;6,64;11,89;5,25;1,83;0,44;3,73;-0,72;1,30;10,87;1,83;8,45;0,17;0,83;0,88;4,16;-14,99;115.052.258,66;10,26;1,12;-0,80;19.336.863.254,80
BRGE11;8,25;4,45;23,62;0,49;0,20;-1.812,31;2.793,51;463,68;3,92;-5,27;-10,02;-1,26;109,51;0,48;-0,49;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;2.821,00;16,77;0,35;-0,45;735.958.750,76
BRGE12;6,26;0,01;17,92;0,37;0,15;-1.812,31;2.793,51;463,68;2,97;-5,27;-10,02;-1,26;83,10;0,36;-0,38;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;1.495,86;16,77;0,35;-0,34;735.958.750,76
BRGE3;9,65;0,00;27,63;0,58;0,23;-1.812,31;2.793,51;463,68;4,59;-5,27;-10,02;-1,26;128,10;0,56;-0,58;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;8.100,25;16,77;0,35;-0,53;735.958.750,76
BRGE5;10,41;2,94;29,80;0,62;0,25;-1.812,31;2.793,51;463,68;4,95;-5,27;-10,02;-1,26;138,19;0,60;-0,62;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;2.169,50;16,77;0,35;-0,57;735.958.750,76
BRGE6;12,99;5,66;37,19;0,77;0,31;-1.812,31;2.793,51;463,68;6,17;-5,27;-10,02;-1,26;172,43;0,75;-0,78;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;1.801,20;16,77;0,35;-0,71;735.958.750,76
BRGE7;5,40;7,94;15,46;0,32;0,13;-1.812,31;2.793,51;463,68;2,57;-5,27;-10,02;-1,26;71,68;0,31;-0,32;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;;16,77;0,35;-0,30;735.958.750,76
BRGE8;9,85;3,11;28,20;0,59;0,24;-1.812,31;2.793,51;463,68;4,68;-5,27;-10,02;-1,26;130,75;0,57;-0,59;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-7,25;985,00;16,77;0,35;-0,54;735.958.750,76
BRIT3;12,96;;219,82;42,19;3,81;44,11;13,49;9,72;158,34;179,48;21,13;5,63;21,36;-169,40;-5,47;0,93;19,19;1,73;2,63;0,09;0,91;0,18;;;17.615.975,30;0,31;0,06;;5.820.270.111,36
BRIV3;10,00;0,19;10,53;0,57;0,04;32,49;24,31;16,77;7,26;6,97;;;1,77;0,18;-0,06;84,58;5,40;0,41;;0,08;0,92;0,02;-14,49;-2,44;6.599,92;17,57;0,95;0,63;850.536.200,45
BRIV4;8,99;6,68;9,47;0,51;0,04;32,49;24,31;16,77;6,53;6,97;;;1,59;0,16;-0,05;84,58;5,40;0,41;;0,08;0,92;0,02;-14,49;-2,44;21.363,53;17,57;0,95;0,57;850.536.200,45
BRKM3;59,75;;5,09;5,50;0,54;30,48;19,50;11,15;2,91;4,24;1,26;2,37;0,57;5,96;-0,97;1,26;107,98;10,63;31,39;0,10;0,92;0,95;4,54;;703.758,11;10,86;11,73;-0,03;48.708.468.796,72
