TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BPAC11;23,36;1,39;13,10;2,55;0,30;40,71;55,28;49,27;11,68;11,68;;;6,45;5,64;-1,14;1,08;19,47;2,26;;0,12;0,88;0,05;2,49;56,07;360.744.320,19;9,16;1,78;0,07;89.367.458.277,55
BPAC5;5,79;1,87;9,74;1,90;0,22;40,71;55,28;49,27;8,68;11,68;;;4,80;4,19;-0,84;1,08;19,47;2,26;;0,12;0,88;0,05;2,49;56,07;99.286,62;3,05;0,59;0,05;89.367.458.277,55
BPAN4;14,60;1,45;23,97;3,17;0,41;68,53;11,11;7,84;16,91;16,91;;;1,88;-34,27;-0,70;0,97;13,20;1,70;;0,13;0,87;0,22;4,82;38,52;131.508.580,78;4,61;0,61;15,15;17.593.819.366,60
BPAR3;182,07;2,96;10,28;1,10;138,79;78,05;26,89;13,81;5,28;5,28;;;1,42;0,75;-0,17;;10,69;1.349,52;;126,29;873,71;97,71;3,12;-3,75;;165,67;17,70;-0,23;1.733.606.633,43
BRAP3;49,08;13,39;3,81;1,44;1,43;;;;3,81;3,84;-0,15;-0,06;;26,37;-1,52;16,30;37,74;37,58;37,65;1,00;0,00;0,00;;;13.902.749,14;34,14;12,88;0,00;20.203.912.580,64
BRAP4;52,64;13,73;4,09;1,54;1,54;;;;4,08;3,84;-0,15;-0,06;;28,28;-1,63;16,30;37,74;37,58;37,65;1,00;0,00;0,00;;;181.357.257,38;34,14;12,88;0,00;20.203.912.580,64
BRDT3;22,03;10,58;5,89;2,18;0,90;6,03;5,33;4,33;4,79;6,06;1,27;0,58;0,26;2,89;-1,82;2,60;37,00;15,25;20,40;0,41;0,59;3,52;-3,48;;298.546.540,71;10,11;3,74;0,04;25.664.950.000,00
BRGE11;8,61;4,27;24,65;0,51;0,21;-1.812,31;2.793,51;463,68;4,09;-5,15;-10,02;-1,26;114,29;0,50;-0,52;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-16,72;1.220,75;16,77;0,35;-0,47;755.095.869,44
BRGE5;10,41;2,94;29,80;0,62;0,25;-1.812,31;2.793,51;463,68;4,95;-5,15;-10,02;-1,26;138,19;0,60;-0,62;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-16,72;1.041,00;16,77;0,35;-0,57;755.095.869,44
BRGE6;12,99;5,66;37,19;0,77;0,31;-1.812,31;2.793,51;463,68;6,17;-5,15;-10,02;-1,26;172,43;0,75;-0,78;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-16,72;1.801,20;16,77;0,35;-0,71;755.095.869,44
BRGE7;5,40;7,94;15,46;0,32;0,13;-1.812,31;2.793,51;463,68;2,57;-5,15;-10,02;-1,26;71,68;0,31;-0,32;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-16,72;;16,77;0,35;-0,30;755.095.869,44
BRGE8;9,99;3,07;28,60;0,60;0,24;-1.812,31;2.793,51;463,68;4,75;-5,15;-10,02;-1,26;132,61;0,58;-0,60;3,25;2,08;0,84;8,38;0,40;0,41;0,00;-1,53;-16,72;4.604,00;16,77;0,35;-0,55;755.095.869,44
BRIV4;8,30;7,24;8,74;0,47;0,04;32,49;24,31;16,77;6,03;6,42;;;1,47;0,15;-0,05;84,58;5,40;0,41;;0,08;0,92;0,02;-14,49;-0,16;15.188,12;17,57;0,95;0,52;783.518.763,30
